Session,Start Date,End Date,Duration,Senate Sitings,House of Commons Sittings
3,1947-01-30,1947-07-17,168 days,46,115
2,1946-03-14,1946-08-31,170 days,72,118
1,1945-09-06,1945-12-18,103 days,44,76
Parliament: 19,,,,,
6,1945-03-19,1945-04-16,28 days,13,19
5,1944-01-27,1945-01-31,370 days,62,136
4,1943-01-28,1944-01-26,363 days,52,120
3,1942-01-22,1943-01-27,370 days,38,124
2,1940-11-07,1942-01-21,440 days,34,105
1,1940-05-16,1940-11-05,173 days,42,61
Parliament: 18,,,,,
6,1940-01-25,1940-01-25,0 days,1,1
5,1939-09-07,1939-09-13,6 days,6,6
4,1939-01-12,1939-06-03,142 days,47,103
3,1938-01-27,1938-07-01,155 days,61,102
2,1937-01-14,1937-04-10,86 days,37,62
1,1936-02-06,1936-06-23,138 days,49,91
Parliament: 17,,,,,
6,1935-01-17,1935-07-05,169 days,56,97
5,1934-01-25,1934-07-03,159 days,59,105
4,1932-10-06,1933-05-27,233 days,64,119
3,1932-02-04,1932-05-26,112 days,42,78
2,1931-03-12,1931-08-03,144 days,50,96
1,1930-09-08,1930-09-22,14 days,11,12
Parliament: 16,,,,,
4,1930-02-20,1930-05-30,99 days,28,62
3,1929-02-07,1929-06-14,127 days,44,83
2,1928-01-26,1928-06-11,137 days,52,93
1,1926-12-09,1927-04-14,126 days,34,54
Parliament: 15,,,,,
1,1926-01-07,1926-07-02,176 days,42,111
Parliament: 14,,,,,
4,1925-02-05,1925-06-27,142 days,50,98
3,1924-02-28,1924-07-19,142 days,60,95
2,1923-01-31,1923-06-30,150 days,63,98
1,1922-03-08,1922-06-28,112 days,44,75
Parliament: 13,,,,,
5,1921-02-14,1921-06-04,110 days,55,79
4,1920-02-26,1920-07-01,126 days,54,86
3,1919-09-01,1919-11-10,70 days,32,50
2,1919-02-20,1919-07-07,137 days,62,93
1,1918-03-18,1918-05-24,67 days,38,47
Parliament: 12,,,,,
7,1917-01-18,1917-09-20,245 days,0,135
6,1916-01-12,1916-05-18,127 days,59,88
5,1915-02-04,1915-04-15,70 days,37,51
4,1914-08-18,1914-08-22,4 days,5,5
3,1914-01-15,1914-06-12,148 days,66,103
2,1912-11-21,1913-06-06,197 days,62,111
1,1911-11-15,1912-04-01,138 days,51,75
Parliament: 11,,,,,
3,1910-11-17,1911-07-29,254 days,62,117
2,1909-11-11,1910-05-04,174 days,68,102
1,1909-01-20,1909-05-19,119 days,49,84
Parliament: 10,,,,,
4,1907-11-28,1908-07-20,235 days,89,148
3,1906-11-22,1907-04-27,156 days,53,95
2,1906-03-08,1906-07-13,127 days,67,88
1,1905-01-11,1905-07-20,190 days,68,129
Parliament: 9,,,,,
4,1904-03-10,1904-08-10,153 days,66,103
3,1903-03-12,1903-10-24,226 days,98,201
2,1902-02-13,1902-05-15,91 days,43,63
1,1901-02-06,1901-05-23,106 days,54,73
Parliament: 8,,,,,
5,1900-02-01,1900-07-18,167 days,77,115
4,1899-03-16,1899-08-11,148 days,78,102
3,1898-02-03,1898-06-13,130 days,68,86
2,1897-03-25,1897-06-29,96 days,51,65
1,1896-08-19,1896-10-05,47 days,28,34
Parliament: 7,,,,,
6,1896-01-02,1896-04-23,112 days,55,70
5,1895-04-18,1895-07-22,95 days,54,65
4,1894-03-15,1894-07-23,130 days,66,87
3,1893-01-26,1893-04-01,65 days,37,47
2,1892-02-25,1892-07-09,135 days,66,87
1,1891-04-29,1891-09-30,154 days,78,102
Parliament: 6,,,,,
4,1890-01-16,1890-05-16,120 days,67,81
3,1889-01-31,1889-05-02,91 days,53,65
2,1888-02-23,1888-05-22,89 days,51,61
1,1887-04-13,1887-06-23,71 days,37,49
Parliament: 5,,,,,
4,1886-02-25,1886-06-02,97 days,52,65
3,1885-01-29,1885-07-20,172 days,89,119
2,1884-01-17,1884-04-19,93 days,56,67
1,1883-02-08,1883-05-27,108 days,61,73
Parliament: 4,,,,,
4,1882-02-09,1882-05-17,97 days,62,68
3,1880-12-09,1881-03-21,102 days,55,65
2,1880-02-12,1880-05-07,85 days,56,57
1,1879-02-13,1879-05-15,91 days,40,64
Parliament: 3,,,,,
5,1878-02-07,1878-05-10,92 days,0,67
4,1877-02-08,1877-04-28,79 days,54,59
3,1876-02-10,1876-04-12,62 days,41,46
2,1875-02-04,1875-04-08,63 days,47,49
1,1874-03-26,1874-05-26,61 days,39,42
Parliament: 2,,,,,
2,1873-10-23,1873-11-07,15 days,9,11
1,1873-03-05,1873-08-13,161 days,49,59
Parliament: 1,,,,,
5,1872-04-11,1872-06-14,64 days,41,46
4,1871-02-15,1871-04-14,58 days,39,43
3,1870-02-15,1870-05-12,86 days,57,62
2,1869-04-15,1869-06-22,68 days,43,49
1,1867-11-06,1868-05-22,198 days,33,83
