,"27th Canadian Parliament
Elected 1965
2 sessions","Dec 9, 1965
–
Apr 23, 1968","Liberal Party
 • Lester B. Pearson—19th Ministry",131 of 265 House seats (minority),"Progressive Conservative Party 
 • John Diefenbaker (1965–1967)
 • Michael Starr (1967)
 • Robert Stanfield (1967–1968)",• New Democratic Party
,"28th Canadian Parliament
Elected 1968
4 sessions","Jul 25, 1968
–
Sep 1, 1972","Liberal Party
 • Pierre Trudeau—20th Ministry",154 of 264 House seats,"Progressive Conservative Party 
 • Robert Stanfield","• New Democratic Party
 • Ralliement créditiste"
,"29th Canadian Parliament
Elected 1972
2 sessions","Nov 20, 1972
–
May 9, 1974","Liberal Party
 • Pierre Trudeau—20th Ministry",109 of 264 House seats (minority),"Progressive Conservative Party 
 • Robert Stanfield","• New Democratic Party
 • Social Credit Party"
,"30th Canadian Parliament
Elected 1974
4 sessions","Jul 31, 1974
–
Mar 26, 1979","Liberal Party
 • Pierre Trudeau—20th Ministry","141 of 264 House seats
76 of 102 Senate seats","Progressive Conservative Party 
 • Robert Stanfield (1974–1976)
 • Joe Clark (1976–1979)",• New Democratic Party
,"31st Canadian Parliament
Elected 1979
1 session","Jun 11, 1979
–
Dec 14, 1979","Progressive Conservative Party
 • Joe Clark—21st Ministry","136 of 282 House seats (minority)
18 of 104 Senate seats","Liberal Party 
 • Pierre Trudeau",• New Democratic Party
,"32nd Canadian Parliament
Elected 1980
2 sessions","Mar 10, 1980
–
Jul 9, 1984","Liberal Party
 • Pierre Trudeau—22nd Ministry (1980–1984)
 • John Turner—23rd Ministry (1984)","147 of 282 House seats
71 of 104 Senate seats","Progressive Conservative Party 
 • Joe Clark (1980–1983)
 • Brian Mulroney (1983–1984)",• New Democratic Party
,"33rd Canadian Parliament
Elected 1984
2 sessions","Sep 24, 1984
–
Oct 1, 1988","Progressive Conservative Party
 • Brian Mulroney—24th Ministry","211 of 282 House seats
23 of 104 Senate seats","Liberal Party 
 • John Turner",• New Democratic Party
,"34th Canadian Parliament
Elected 1988
3 sessions","Dec 12, 1988
–
Sep 8, 1993","Progressive Conservative Party
 • Brian Mulroney—24th Ministry (1988–1993)
 • Kim Campbell—25th Ministry (1993)","169 of 295 House seats
36 of 104 Senate seats","Liberal Party 
 • John Turner (1988–1990)
 • Herb Gray (1990)
 • Jean Chrétien (1990–1993)",• New Democratic Party
,"35th Canadian Parliament
Elected 1993
2 sessions","Nov 15, 1993
–
Apr 27, 1997","Liberal Party
 • Jean Chrétien—26th Ministry","177 of 295 House seats
41 of 104 Senate seats","Bloc Québécois 
 • Lucien Bouchard (1993–1996)
 • Gilles Duceppe (1996)
 • Michel Gauthier (1996)
 • Gilles Duceppe (1996–1997)",• Reform Party
,"36th Canadian Parliament
Elected 1997
2 sessions","Jun 23, 1997
–
Oct 22, 2000","Liberal Party
 • Jean Chrétien—26th Ministry","155 of 301 House seats
51 of 104 Senate seats","Reform Party (1997–2000)
 • Preston Manning","• Bloc Québécois
 • New Democratic Party
 • Progressive Conservative Party"
,"36th Canadian Parliament
Elected 1997
2 sessions","Jun 23, 1997
–
Oct 22, 2000","Liberal Party
 • Jean Chrétien—26th Ministry","155 of 301 House seats
51 of 104 Senate seats","Canadian Alliance (2000)
 • Deborah Grey (2000)
 • Stockwell Day (2000)","• Bloc Québécois
 • New Democratic Party
 • Progressive Conservative Party"
,"37th Canadian Parliament
Elected 2000
3 sessions","Dec 18, 2000
–
Aug 23, 2004","Liberal Party
 • Jean Chrétien—26th Ministry (2000–2004)
 • Paul Martin—27th Ministry (2004)","172 of 301 House seats
55 of 105 Senate seats","Canadian Alliance (2000–2004)
 • Stockwell Day (2000)
 • John Reynolds (2001–2002)
 • Stephen Harper (2002–2004)
 • Grant Hill (2004)","• Bloc Québécois
 • New Democratic Party
 • Progressive Conservative Party"
,"37th Canadian Parliament
Elected 2000
3 sessions","Dec 18, 2000
–
Aug 23, 2004","Liberal Party
 • Jean Chrétien—26th Ministry (2000–2004)
 • Paul Martin—27th Ministry (2004)","172 of 301 House seats
55 of 105 Senate seats","Conservative Party (2004)
 • Grant Hill (2004)
 • Stephen Harper (2004)","• Bloc Québécois
 • New Democratic Party"
,"38th Canadian Parliament
Elected 2004
1 session","Oct 19, 2004
–
Nov 29, 2005","Liberal Party
 • Paul Martin—27th Ministry","135 of 308 House seats (minority)
64 of 105 Senate seats","Conservative Party 
 • Stephen Harper","• Bloc Québécois
 • New Democratic Party"
,"39th Canadian Parliament
Elected 2006
2 sessions","Feb 13, 2006
–
Sep 7, 2008","Conservative Party
 • Stephen Harper—28th Ministry","124 of 308 House seats (minority)
23 of 105 Senate seats","Liberal Party 
 • Bill Graham (2006)
 • Stéphane Dion (2006–2008)","• Bloc Québécois
 • New Democratic Party"
,"40th Canadian Parliament
Elected 2008
3 sessions","Nov 4, 2008
–
Mar 26, 2011","Conservative Party
 • Stephen Harper—28th Ministry","143 of 308 House seats (minority)
21 of 105 Senate seats","Liberal Party 
 • Stéphane Dion (2008)
 • Michael Ignatieff (2008–2011)","• Bloc Québécois
 • New Democratic Party"
,"41st Canadian Parliament
Elected 2011
2 sessions","May 23, 2011
–
Aug 2, 2015","Conservative Party
 • Stephen Harper—28th Ministry","166 of 308 House seats
52 of 105 Senate seats","New Democratic Party 
 • Jack Layton (2011)
 • Nycole Turmel (2011–2012)
 • Thomas Mulcair (2012–2015)",• Liberal Party
,"42nd Canadian Parliament
Elected 2015
1 session","Dec 3, 2015
–
Sep 11, 2019","Liberal Party
 • Justin Trudeau—29th Ministry","184 of 338 House seats
0 of 105 Senate seats","Conservative Party
 • Rona Ambrose (2015–2017)
 • Andrew Scheer (2017–2020)",• New Democratic Party
,"43rd Canadian Parliament
Elected 2019
2 sessions","Dec 5, 2019
–
Aug 15, 2021","Liberal Party
 • Justin Trudeau—29th Ministry","157 of 338 House seats (minority)
0 of 105 Senate seats","Conservative Party
 • Andrew Scheer (2017–2020)
 • Erin O'Toole (2020–2021)","• Bloc Québécois
 • New Democratic Party"
,"44th Canadian Parliament 
Elected 2021","Nov 22, 2021
–
present","Liberal Party
 • Justin Trudeau—29th Ministry","160 of 338 House seats (minority)
0 of 105 Senate seats","Conservative Party
 • Erin O'Toole (2021–2022)
 • Candice Bergen (2022)
 • Pierre Poilievre (2022–present)","• Bloc Québécois
 • New Democratic Party"
